customer_id,order_count,avg_order_value,cluster
10000,25,892.9676,2
10001,29,1009.1448275862069,1
10002,31,903.543870967742,2
10003,23,831.2130434782609,0
10004,25,931.3032000000001,2
10005,24,908.17625,2
10006,29,803.1868965517242,0
10007,19,792.098947368421,0
10008,34,919.4655882352941,2
10009,29,1027.586551724138,1
10010,22,810.8786363636365,0
10011,23,857.0539130434784,2
10012,33,850.1642424242425,2
10013,23,985.1252173913044,1
10014,28,862.7049999999999,2
10015,28,787.1928571428572,0
10016,26,882.7069230769231,2
10017,20,840.7049999999999,0
10018,38,809.4892105263158,0
10019,27,968.3333333333334,2
10020,30,987.65,1
10021,20,883.939,2
10022,26,1154.353076923077,1
10023,18,893.3844444444444,2
10024,22,804.6854545454546,0
10025,20,1090.4715,1
10026,30,992.4366666666666,1
10027,30,838.38,0
10028,26,853.2826923076923,2
10029,27,891.1437037037037,2
10030,19,894.1968421052633,2
10031,32,1003.666875,1
10032,31,876.1703225806451,2
10033,29,742.8534482758621,0
10034,28,895.7367857142857,2
10035,27,851.8333333333334,2
10036,25,816.0283999999999,0
10037,28,883.5875,2
10038,29,809.4379310344827,0
10039,26,893.5988461538461,2
10040,24,1079.8125,1
10041,29,798.1641379310345,0
10042,31,882.1187096774194,2
10043,22,796.0395454545454,0
10044,26,1012.1761538461537,1
10045,26,829.1696153846153,0
10046,23,866.5665217391304,2
10047,36,832.605,0
10048,21,927.3195238095237,2
10049,17,738.3329411764706,0
10050,20,1063.039,1
10051,28,802.0996428571428,0
10052,21,891.337619047619,2
10053,29,926.8899999999999,2
10054,26,859.0115384615384,2
10055,20,728.4150000000001,0
10056,22,950.4595454545455,2
10057,30,815.1786666666667,0
10058,21,736.7757142857143,0
10059,29,943.8862068965517,2
10060,29,792.9,0
10061,17,697.8629411764706,0
10062,21,986.0485714285714,1
10063,29,966.085172413793,2
10064,25,995.6776,1
10065,18,797.0138888888889,0
10066,31,1095.9212903225805,1
10067,21,846.1209523809524,0
10068,23,872.5208695652174,2
10069,32,805.123125,0
10070,29,941.1637931034483,2
10071,24,821.6683333333334,0
10072,26,828.9380769230769,0
10073,22,915.6459090909091,2
10074,26,871.5092307692307,2
10075,30,896.5323333333333,2
10076,27,757.4744444444445,0
10077,19,1083.628947368421,1
10078,17,749.8541176470588,0
10079,33,768.4124242424242,0
10080,18,859.2083333333334,2
10081,34,913.105,2
10082,22,692.5045454545455,0
10083,23,1055.3647826086956,1
10084,31,891.7487096774194,2
10085,32,1148.24875,1
10086,19,1002.8305263157894,1
10087,29,905.1155172413794,2
10088,19,774.8078947368422,0
10089,23,801.98,0
10090,25,929.6088000000001,2
10091,34,990.0505882352942,1
10092,32,729.7375,0
10093,33,777.2481818181818,0
10094,32,925.8096875,2
10095,31,952.1335483870968,2
10096,27,1020.3348148148149,1
10097,33,1011.4257575757576,1
10098,29,830.9951724137932,0
10099,31,802.4422580645161,0
10100,23,889.9347826086956,2
10101,21,760.2476190476191,0
10102,27,870.2696296296295,2
10103,27,842.5492592592593,0
10104,28,863.9539285714285,2
10105,29,871.7593103448276,2
10106,19,913.0594736842106,2
10107,21,892.670476190476,2
10108,34,897.7538235294118,2
10109,30,900.054,2
10110,32,769.0215625,0
10111,15,825.224,0
10112,22,877.2427272727273,2
10113,35,907.5622857142857,2
10114,39,842.5846153846154,0
10115,32,862.280625,2
10116,24,734.7266666666666,0
10117,19,980.6805263157895,1
10118,22,877.8563636363637,2
10119,35,1030.2582857142856,1
10120,33,1068.2642424242424,1
10121,20,815.5265,0
10122,24,840.04625,0
10123,20,913.3865,2
10124,26,919.4369230769231,2
10125,38,849.4957894736842,2
10126,21,967.7338095238096,2
10127,20,960.8834999999999,2
10128,27,1019.3485185185185,1
10129,24,1003.0929166666666,1
10130,19,1071.7847368421053,1
10131,33,890.9200000000001,2
10132,28,932.3367857142857,2
10133,25,886.3883999999999,2
10134,27,839.4181481481481,0
10135,22,1054.1186363636364,1
10136,24,944.5920833333333,2
10137,25,965.4903999999999,2
10138,13,821.4176923076923,0
10139,20,996.49,1
10140,24,982.9833333333332,1
10141,26,910.3149999999999,2
10142,16,919.586875,2
10143,23,878.0986956521739,2
10144,22,757.7490909090909,0
10145,18,838.86,0
10146,23,784.3526086956522,0
10147,34,886.7573529411765,2
10148,19,851.7121052631578,2
10149,17,778.9217647058823,0
10150,29,822.1420689655172,0
10151,23,955.1604347826088,2
10152,16,934.23375,2
10153,19,791.1094736842106,0
10154,25,939.6684,2
